YEAR,DOY,SR,T2M_MIN,T2M_MAX,RH2M,WS2M
2022,106,18.28,21.36,30.69,71.81,0.15
2022,107,20.19,21.65,32.31,74,0.12
2022,108,18.77,20.47,31.45,73.81,0.15
2022,109,18.67,19.73,30.94,72.06,0.19
2022,110,12.31,20.21,26.76,85.94,0.08
2022,111,23.51,18.19,30.7,75.25,0.18
2022,112,12.61,19.08,31.35,74.81,0.09
2022,113,15.78,20.33,31.81,73.31,0.1
2022,114,21.72,20.5,33.01,71.5,0.11
2022,115,23.84,20.7,33.37,68.81,0.12
2022,116,23.4,20.26,33.09,69.12,0.17
2022,117,22.46,20.3,32.69,72.38,0.15
2022,118,19.91,21.78,32.99,67.69,0.2
2022,119,21.09,20.72,35.01,61.88,0.23
2022,120,10.48,21.58,30.43,73.94,0.15
2022,121,13.5,20.02,26.99,78.38,0.15
2022,122,8.99,19.9,28.61,76.69,0.2
2022,123,14.6,18.82,31.27,73.31,0.12
2022,124,16.25,18.69,25.87,85.31,0.09
2022,125,23.3,18.17,32.25,67.31,0.23
2022,126,23.8,19.69,33.77,64.94,0.23
2022,127,19.61,21.8,33.75,63.25,0.23
2022,128,23.86,22.7,35.37,60.31,0.2
2022,129,18.53,21.83,33.77,65.81,0.15
2022,130,9.72,20.43,31.87,74.25,0.08
2022,131,9.86,21.82,30.86,82.19,0.05
2022,132,9.26,21.42,31.36,83.5,0.05
2022,133,4.77,22.71,31.19,82.31,0.07
2022,134,6.14,22.84,31.97,79.38,0.09
2022,135,4.9,22.94,32.02,80.31,0.09
2022,136,3.99,22.44,31.52,80.88,0.07
2022,137,5.07,20.23,26.24,83.62,0.06
2022,138,11.08,19.81,28.67,79.44,0.07
2022,139,16.59,21.15,30.06,80.06,0.05
2022,140,15.03,20.9,31.29,79.56,0.09
2022,141,12.74,20.79,31.88,77.38,0.09
2022,142,16.34,20.47,30.85,76.62,0.16
2022,143,16.81,21.87,30.34,76.81,0.12
2022,144,17.68,21.6,33.23,74.69,0.17
2022,145,9.95,22.46,29.57,85,0.05
2022,146,15.65,21.53,31.08,78.31,0.04
2022,147,21.12,20.8,32.39,74.19,0.04
2022,148,20.1,21.35,31.15,75.38,0.09
2022,149,21.71,20.94,33.46,72.75,0.15
2022,150,17.95,22.8,33.68,73.31,0.12
2022,151,18.63,22.81,37.64,72.81,0.14
2022,152,12.87,23.49,31.48,79.69,0.1
2022,153,14.03,22.94,29.49,86.5,0.02
2022,154,9.76,21.9,32.24,80.56,0.02
2022,155,12.21,22.1,32,77.31,0.03
2022,156,9.49,21.28,31.59,79,0.02
2022,157,9.17,21.05,33.07,76.31,0.04
2022,158,18.94,22.19,33.82,75.12,0.07
2022,159,17.83,23.48,28.44,85,0.06
2022,160,11.29,22.87,32.53,79.25,0.02
2022,161,10.17,22.02,28.38,87.81,0.02
2022,162,15.69,21.16,32.2,77.81,0.02
2022,163,9.3,21.74,32.42,79.19,0.02
2022,164,6.94,22.05,32.52,81.75,0.02
2022,165,7.53,22.72,31.11,84.06,0.02
2022,166,2.29,21.73,29.14,86,0.02
2022,167,4.39,21.32,29,86.31,0.02
2022,168,3.8,21.08,28.45,87.69,0.02
2022,169,7.32,20.72,27.33,90.38,0.02
2022,170,10.56,20,28.42,86.56,0.02
2022,171,14.47,21.24,30.66,82.88,0.03
2022,172,20.18,22.37,31.93,81.75,0.05
2022,173,16.95,22.84,32.48,82.06,0.08
2022,174,13.03,22.77,31.94,82.25,0.02
2022,175,17.29,22.37,31.55,82.12,0.01
2022,176,17.9,21.63,32.33,81.5,0.02
2022,177,18.29,22.84,31.33,83.12,0.02
2022,178,16.31,22.39,31.16,83.25,0.01
2022,179,7.88,22.49,27.73,90.25,0.02
2022,180,14.87,22.23,29.18,87.94,0.02
2022,181,15.15,22.04,31.46,82.75,0.03
2022,182,18.56,22.31,32.41,80.94,0.04
2022,183,20.07,23.14,32.89,80.06,0.05
2022,184,15.87,23.42,29.65,88,0.02
2022,185,19.43,23.33,29.07,87.75,0.11
2022,186,23.11,23.4,30.78,84.81,0.14
