Year,DOY,SolarRadiation,MaxTemp,MaxTemp,RH,WindSpeed,ETo,ETc,Stage,CWR
2021,256,20.13,23.13,35.75,71.31,0.11,4.955,2.478,1,0.688
2021,257,21.77,23.4,35.43,70.88,0.13,5.359,2.68,1,0.744
2021,258,15.66,24.11,31.8,82.5,0.1,3.776,1.888,1,0.524
2021,259,15.2,24.37,30.2,83.56,0.14,3.639,1.82,1,0.506
2021,260,13.8,23.65,31.66,83.06,0.06,3.313,1.656,1,0.46
2021,261,12.25,23,29.09,88.19,0.11,2.878,1.439,1,0.4
2021,262,20,22.68,33.49,78.31,0.13,4.829,2.414,1,0.671
2021,263,20.18,23.49,32.05,82,0.12,4.844,2.422,1,0.673
2021,264,7.87,22.65,30.27,88,0.09,1.867,0.934,1,0.259
2021,265,17.46,21.55,31.52,83.56,0.06,4.124,2.062,1,0.573
2021,266,19.66,22.64,29.97,85.62,0.14,4.621,2.31,1,0.642
2021,267,20.07,22.05,34.16,75.38,0.19,4.864,2.432,1,0.676
2021,268,20.72,23.03,33.62,75.12,0.2,5.04,2.52,1,0.7
2021,269,21.76,23.05,33.76,77.12,0.16,5.276,2.638,1,0.733
2021,270,20.2,21.99,32.01,78.62,0.05,4.804,2.402,1,0.667
2021,271,19.84,22.19,33.7,76.81,0.05,4.776,2.388,1,0.663
2021,272,12.82,23.2,27.69,89.88,0.06,2.984,1.492,1,0.414
2021,273,19.17,22.24,30.49,83.56,0.14,4.517,2.258,1,0.627
2021,274,20.35,23.5,31.46,81.56,0.19,4.871,2.436,1,0.677
2021,275,13.52,22.7,31.51,81.94,0.13,3.235,1.618,1,0.449
2021,276,14.52,21.49,29.49,86.38,0,3.384,1.692,1,0.47
2021,277,11.35,21.58,28.7,86.25,0.09,2.639,1.32,1,0.367
2021,278,13.69,22.51,29.83,86.62,0.16,3.223,1.612,1,0.448
2021,279,18.77,22.16,30.51,81.75,0.16,4.429,2.214,1,0.615
2021,280,18.28,21.85,31.4,80.62,0.25,4.34,2.17,1,0.603
2021,281,19,22.66,32.49,79.12,0.22,4.57,2.285,1,0.635
2021,282,18.04,21.62,31.83,78.5,0.16,4.291,2.146,1,0.596
2021,283,16.32,21.98,31.33,80.62,0.16,3.878,1.939,1,0.539
2021,284,17.55,22.14,33.34,76.31,0.2,4.246,2.123,1,0.59
2021,285,18.6,23.78,34.28,71.69,0.28,4.62,2.31,1,0.642
2021,286,17.49,23.01,34.84,74.06,0.16,4.295,2.148,1,0.597
2021,287,19.92,23.66,34.75,74.56,0.18,4.899,2.45,1,0.681
2021,288,19.07,22.75,35.55,72.44,0.09,4.673,2.336,1,0.649
2021,289,15.13,22.62,32.94,76,0.02,3.635,1.818,1,0.505
2021,290,13.73,22.13,31.42,75.94,0.04,3.265,1.632,1,0.453
2021,291,17.84,21.48,31.99,74.94,0.08,4.242,2.121,1,0.589
2021,292,15.01,22.21,29.58,84.44,0.13,3.523,1.762,1,0.489
2021,293,11.12,22.02,28.26,90.31,0.01,2.579,1.29,1,0.358
2021,294,8.28,20.51,27.26,93.88,0,1.887,0.944,1,0.262
2021,295,16.51,17.83,26.58,75.81,0.16,3.694,1.847,1,0.513
2021,296,18.56,17.11,28.35,77.56,0.29,4.17,2.085,1,0.579
2021,297,17.72,19.37,28.1,78.5,0.23,4.051,2.026,1,0.563
2021,298,17.66,18.56,28.08,81.62,0.26,3.991,1.996,1,0.554
2021,299,16.46,17.26,28.05,76.12,0.27,3.718,1.859,1,0.516
2021,300,13.99,18.09,28.25,75.12,0.36,3.234,1.617,1,0.449
2021,301,13.59,18.36,28.24,78.44,0.3,3.117,1.558,1,0.433
2021,302,16.38,19.03,26.62,82.06,0.2,3.681,1.84,1,0.511
2021,303,16.05,18.05,27.6,78.75,0.22,3.621,1.81,1,0.503
2021,304,15.98,17.62,26.86,79.62,0.28,3.572,1.786,1,0.496
2021,305,17.43,16.01,26.14,74.62,0.3,3.841,1.92,1,0.533
2021,306,18.02,16.09,27.3,75.25,0.29,3.999,2,1,0.556
2021,307,17.81,16.5,27.15,75.5,0.32,3.966,1.983,1,0.551
2021,308,17.21,14.09,26.5,70.06,0.35,3.771,1.886,1,0.524
2021,309,18.54,14.87,26.34,68.25,0.33,4.087,2.043,1,0.568
2021,310,18.28,14.83,26.01,71.5,0.3,3.991,1.996,1,0.554
2021,311,18.74,13.75,26.1,72.88,0.33,4.037,2.018,1,0.561
2021,312,18.53,14.92,27.34,72.25,0.32,4.086,2.043,1,0.568
2021,313,18.37,15.54,27.73,75.81,0.26,4.059,2.03,1,0.564
2021,314,17.58,16.33,27.44,75.75,0.27,3.912,1.956,1,0.543
2021,315,15.64,15.98,27.57,77.06,0.3,3.48,1.74,1,0.483
2021,316,13.29,15.33,27.28,77.56,0.21,2.936,1.468,1,0.408
2021,317,14.51,15.09,26.34,73.12,0.34,3.215,1.608,1,0.447
2021,318,15.12,13.83,25.5,73.44,0.27,3.263,1.632,1,0.453
2021,319,15.34,16.33,25.78,78.44,0.18,3.363,1.682,1,0.467
2021,320,15.15,17.24,25.57,82.94,0.13,3.325,1.662,1,0.462
2021,321,16.74,14.95,26.57,79.56,0.25,3.632,1.816,1,0.504
2021,322,17.46,14.68,27,68.75,0.34,3.871,1.936,1,0.538
2021,323,17.19,13.15,25.74,65.25,0.38,3.753,1.876,1,0.521
2021,324,16.17,14.58,25.24,69.62,0.39,3.551,1.776,1,0.493
2021,325,15.38,15.26,25.89,77.12,0.23,3.35,1.675,1,0.465
2021,326,15.14,15.28,23.98,84.44,0.04,3.223,1.612,1,0.448
2021,327,14.09,14.62,24.4,83,0.09,2.993,1.496,1,0.416
2021,328,13.64,12.85,23.55,78.56,0.27,2.847,1.424,1,0.396
2021,329,15.43,12.83,24.84,67.25,0.37,3.337,1.668,1,0.463
2021,330,15.97,12.03,23.93,72.94,0.38,3.341,1.67,1,0.464
2021,331,16.37,11.37,24.97,72.75,0.35,3.422,1.711,1,0.475
2021,332,16.6,12.45,25.82,71.06,0.33,3.548,1.774,1,0.493
2021,333,16.5,12.58,25.33,72.5,0.34,3.509,1.754,1,0.487
2021,334,16.24,11.9,25.66,74.38,0.27,3.42,1.71,1,0.475
2021,335,16.29,13.26,26.49,71.06,0.32,3.534,1.767,1,0.491
2021,336,16.22,13.9,27.81,69.19,0.38,3.607,1.804,1,0.501
